V,I
0.1,1e-05
0.10606060606060606,1.2424242424242424e-05
0.11212121212121212,1.4848484848484848e-05
0.11818181818181818,1.727272727272727e-05
0.12424242424242425,1.9696969696969697e-05
0.1303030303030303,2.212121212121212e-05
0.13636363636363635,2.4545454545454542e-05
0.14242424242424243,2.696969696969697e-05
0.1484848484848485,2.9393939393939395e-05
0.15454545454545454,3.1818181818181816e-05
0.16060606060606062,3.424242424242424e-05
0.16666666666666669,3.6666666666666666e-05
0.17272727272727273,3.909090909090909e-05
0.1787878787878788,4.151515151515152e-05
0.18484848484848487,4.393939393939394e-05
0.19090909090909092,4.6363636363636364e-05
0.19696969696969696,4.878787878787879e-05
0.20303030303030304,5.4848484848484854e-05
0.20909090909090913,6.212121212121213e-05
0.21515151515151516,6.939393939393939e-05
0.22121212121212124,7.666666666666667e-05
0.2272727272727273,8.393939393939395e-05
0.23333333333333334,9.121212121212121e-05
0.23939393939393942,9.84848484848485e-05
0.24545454545454548,0.00010575757575757576
0.2515151515151515,0.00011303030303030303
0.25757575757575757,0.00012030303030303031
0.26363636363636367,0.0001275757575757576
0.26969696969696976,0.00013484848484848484
0.2757575757575758,0.00014212121212121213
0.28181818181818186,0.0001493939393939394
0.2878787878787879,0.00015666666666666665
0.293939393939394,0.000182
0.30000000000000004,0.0002
0.3060606060606061,0.00022727272727272724
0.31212121212121216,0.0002545454545454545
0.31818181818181823,0.00028181818181818183
0.3242424242424243,0.00030909090909090906
0.33030303030303035,0.00033636363636363636
0.3363636363636364,0.0003636363636363636
0.3424242424242425,0.0003909090909090909
0.34848484848484856,0.0004181818181818182
0.3545454545454546,0.0004454545454545454
0.36060606060606066,0.00047272727272727274
0.3666666666666667,0.0005
0.3727272727272728,0.0005454545454545454
0.3787878787878789,0.0005909090909090908
0.3848484848484849,0.0006363636363636364
0.390909090909091,0.0006818181818181818
0.39696969696969705,0.0007272727272727273
0.4030303030303031,0.0007727272727272727
0.40909090909090917,0.0008181818181818181
0.4151515151515152,0.0008636363636363637
0.4212121212121213,0.0009090909090909091
0.42727272727272736,0.0009545454545454544
0.4333333333333334,0.001
0.4393939393939395,0.001196969696969697
0.4454545454545456,0.001409090909090909
0.45151515151515154,0.0016212121212121211
0.45757575757575763,0.0018333333333333332
0.4636363636363637,0.0020454545454545455
0.46969696969696975,0.0022575757575757576
0.47575757575757584,0.0024696969696969693
0.4818181818181819,0.0026818181818181816
0.48787878787878793,0.002893939393939394
0.493939393939394,0.003106060606060606
0.5,0.0033
0.5060606060606061,0.0038
0.5121212121212122,0.0043
0.5181818181818182,0.0048
0.5242424242424243,0.0053
0.5303030303030303,0.0058
0.5363636363636364,0.0063
0.5424242424242425,0.0068
0.5484848484848485,0.0073
0.5545454545454546,0.0078
0.5606060606060606,0.0083
0.5666666666666667,0.0088
0.5727272727272728,0.0093
0.5787878787878788,0.0098
0.5848484848484849,0.0103
0.590909090909091,0.011891666666666667
0.596969696969697,0.013566666666666666
0.6030303030303031,0.015241666666666667
0.6090909090909091,0.016916666666666666
0.6151515151515152,0.018591666666666665
0.6212121212121212,0.020266666666666667
0.6272727272727273,0.021941666666666666
0.6333333333333333,0.023616666666666667
0.6393939393939394,0.025291666666666665
0.6454545454545455,0.026966666666666668
0.6515151515151515,0.028641666666666667
0.6575757575757576,0.030316666666666665
0.6636363636363637,0.03199166666666667
0.6696969696969697,0.033666666666666664
0.6757575757575758,0.040303030303030304
0.6818181818181819,0.04272727272727273
0.6878787878787879,0.04515151515151515
0.693939393939394,0.047575757575757574
0.7,0.05
